"","serverId","vypadekId","zacatek","konec"
"109",1186768,1389296066,"2014-01-09 20:34:26","2014-01-09 20:54:26"
"110",1186768,1389293066,"2014-01-09 19:44:26","2014-01-09 19:54:26"
"111",1938827,1392026041,"2014-02-10 10:54:01","2014-02-10 10:59:01"
"112",1938827,1391703841,"2014-02-06 17:24:01","2014-02-06 18:54:01"
"113",1938827,1391699941,"2014-02-06 16:19:01","2014-02-06 17:19:01"
"114",1938827,1391592841,"2014-02-05 10:34:01","2014-02-05 10:39:01"
"115",1938827,1391536441,"2014-02-04 18:54:01","2014-02-04 18:59:01"
"116",1938827,1391446141,"2014-02-03 17:49:01","2014-02-03 17:59:01"
"117",1938827,1391418541,"2014-02-03 10:09:01","2014-02-03 10:14:01"
"118",1938827,1390973941,"2014-01-29 06:39:01","2014-01-29 06:49:01"
"119",1938827,1390901941,"2014-01-28 10:39:01","2014-01-28 10:44:01"
"120",1938827,1390851841,"2014-01-27 20:44:01","2014-01-27 20:49:01"
"121",1938827,1390850641,"2014-01-27 20:24:01","2014-01-27 20:29:01"
"122",1938827,1390850041,"2014-01-27 20:14:01","2014-01-27 20:19:01"
"123",1938827,1390848841,"2014-01-27 19:54:01","2014-01-27 19:59:01"
"124",1938827,1390847641,"2014-01-27 19:34:01","2014-01-27 19:39:01"
"125",1938827,1390843741,"2014-01-27 18:29:01","2014-01-27 18:34:01"
"126",1938827,1390817641,"2014-01-27 11:14:01","2014-01-27 11:19:01"
"127",1938827,1390483741,"2014-01-23 14:29:01","2014-01-23 14:34:01"
"128",1938827,1390471141,"2014-01-23 10:59:01","2014-01-23 11:04:01"
"129",1938827,1390383241,"2014-01-22 10:34:01","2014-01-22 10:39:01"
"130",1938827,1390382041,"2014-01-22 10:14:01","2014-01-22 10:19:01"
"131",2098969,1391522461,"2014-02-04 15:01:01","2014-02-04 15:21:01"
"132",2098969,1391444461,"2014-02-03 17:21:01","2014-02-03 17:26:01"
"133",2098969,1391444161,"2014-02-03 17:16:01","2014-02-03 17:21:01"
"134",2098969,1391442961,"2014-02-03 16:56:01","2014-02-03 17:06:01"
"135",2098969,1390978561,"2014-01-29 07:56:01","2014-01-29 08:01:01"
"136",2098969,1390558861,"2014-01-24 11:21:01","2014-01-24 11:41:01"
"137",2098969,1390555861,"2014-01-24 10:31:01","2014-01-24 10:36:01"
"138",2098969,1390203661,"2014-01-20 08:41:01","2014-01-20 08:46:01"
"139",2098969,1389931261,"2014-01-17 05:01:01","2014-01-17 05:06:01"
"140",2098969,1389787561,"2014-01-15 13:06:01","2014-01-15 13:11:01"
"141",2098969,1389786361,"2014-01-15 12:46:01","2014-01-15 12:51:01"
"142",2098969,1389785761,"2014-01-15 12:36:01","2014-01-15 12:41:01"
"143",2098969,1389681361,"2014-01-14 07:36:01","2014-01-14 07:41:01"
"144",2098969,1389473761,"2014-01-11 21:56:01","2014-01-11 22:01:01"
"145",2098969,1389370261,"2014-01-10 17:11:01","2014-01-10 17:16:01"
"146",2098969,1389369661,"2014-01-10 17:01:01","2014-01-10 17:06:01"
"147",2098969,1389368461,"2014-01-10 16:41:01","2014-01-10 16:56:01"
"148",2098969,1389366961,"2014-01-10 16:16:01","2014-01-10 16:31:01"
"149",2098969,1389359461,"2014-01-10 14:11:01","2014-01-10 14:16:01"
"150",2098969,1389339961,"2014-01-10 08:46:01","2014-01-10 08:51:01"
"151",1347573,1391997721,"2014-02-10 03:02:01","2014-02-10 03:07:01"
"152",1347573,1391990521,"2014-02-10 01:02:01","2014-02-10 01:07:01"
"153",1347573,1391218621,"2014-02-01 02:37:01","2014-02-01 02:42:01"
"154",1347573,1390608421,"2014-01-25 01:07:01","2014-01-25 01:12:01"
"155",1347573,1390098721,"2014-01-19 03:32:01","2014-01-19 03:57:01"
"156",1347573,1389366421,"2014-01-10 16:07:01","2014-01-10 17:07:01"
"157",1347573,1389204121,"2014-01-08 19:02:01","2014-01-08 19:07:01"
"158",1347573,1388111521,"2013-12-27 03:32:01","2013-12-27 05:27:01"
"159",1347573,1387444321,"2013-12-19 10:12:01","2013-12-19 10:17:01"
"160",1347573,1385433121,"2013-11-26 03:32:01","2013-11-26 04:32:01"
"161",1347573,1384828321,"2013-11-19 03:32:01","2013-11-19 04:22:01"
"162",1347573,1382491921,"2013-10-23 03:32:01","2013-10-23 04:57:01"
"163",1347573,1381023121,"2013-10-06 03:32:01","2013-10-06 05:07:01"
"164",1347573,1380693121,"2013-10-02 07:52:01","2013-10-02 07:57:01"
"165",1347573,1380677521,"2013-10-02 03:32:01","2013-10-02 04:52:01"
"166",1347573,1379712177,"2013-09-20 23:22:57","2013-09-20 23:32:57"
"167",1347573,1379707377,"2013-09-20 22:02:57","2013-09-20 22:22:57"
"168",1347573,1379706177,"2013-09-20 21:42:57","2013-09-20 21:52:57"
"169",1347573,1379704377,"2013-09-20 21:12:57","2013-09-20 21:32:57"
"170",1347573,1376443977,"2013-08-14 03:32:57","2013-08-14 04:22:57"
